variable,label,description,source,source2
unitid,Unit ID number,Unique identification number of the institution in the Integrated Postsecondary Education Data System.,Integrated Postsecondary Education Data System,
reqt_hs_rank,Admissions requirement: Secondary school rank,None,Integrated Postsecondary Education Data System,
reqt_test_scores,Admissions requirement: Admission test scores,None,Integrated Postsecondary Education Data System,
reqt_hs_gpa,Admissions requirement: Secondary school GPA,None,Integrated Postsecondary Education Data System,
reqt_college_prep,Admissions requirement: Completion of college preparatory program,None,Integrated Postsecondary Education Data System,
reqt_recommendations,Admissions requirement: Recommendations,None,Integrated Postsecondary Education Data System,
sat_crit_read_25_pctl,SAT critical reading 25th percentile score,None,Integrated Postsecondary Education Data System,
sat_crit_read_75_pctl,SAT critical reading 75th percentile score,None,Integrated Postsecondary Education Data System,
sat_math_25_pctl,SAT math 25th percentile score,None,Integrated Postsecondary Education Data System,
sat_math_75_pctl,SAT math 75th percentile score,None,Integrated Postsecondary Education Data System,
act_composite_25_pctl,ACT composite 25th percentile score,None,Integrated Postsecondary Education Data System,
act_composite_75_pctl,ACT composite 75th percentile score,None,Integrated Postsecondary Education Data System,
act_english_25_pctl,ACT english 25th percentile score,None,Integrated Postsecondary Education Data System,
act_english_75_pctl,ACT english 75th percentile score,None,Integrated Postsecondary Education Data System,
act_math_25_pctl,ACT math 25th percentile score,None,Integrated Postsecondary Education Data System,
act_math_75_pctl,ACT math 75th percentile score,None,Integrated Postsecondary Education Data System,
inst_name,Institution (entity) name,None,Integrated Postsecondary Education Data System,
institution_level,Level of institution,None,Integrated Postsecondary Education Data System,
completion_rate_150pct,Graduation rate within 150% of normal time,None,Integrated Postsecondary Education Data System,